"frequency_ghz","channel","absolute_commanded_phase_deg","relative_commanded_from_180_deg","measured_relative_from_180_deg","phase_error_from_180_deg","original_phase_error_from_0_deg","reference_180_measured_magnitude_deg","reference_180_original_error_deg","tone_level_dbfs","amplitude_delta_from_0_db","circular_std_deg","sample_count","source_directory"
"2.4","2","45","-135","-132.409","2.591000000000008","0.03900000000000148","177.448","-2.5519999999999925","-17.1","0.11999999999999744","0.001","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","67.5","-112.5","-112.13000000000001","0.36999999999999034","-2.182000000000002","177.448","-2.5519999999999925","-17.094","0.12599999999999767","0.002","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","90","-90","-88.024","1.975999999999999","-0.5759999999999934","177.448","-2.5519999999999925","-17.29","-0.07000000000000028","0.002","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","112.5","-67.5","-64.626","2.8739999999999952","0.32200000000000273","177.448","-2.5519999999999925","-17.38","-0.16000000000000014","0.013","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","135","-45","-41.69","3.3100000000000023","0.7580000000000098","177.448","-2.5519999999999925","-17.645","-0.4250000000000007","0","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","157.5","-22.5","-20.25","2.25","-0.3019999999999925","177.448","-2.5519999999999925","-17.679","-0.45899999999999963","0.003","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","180","0","0","0","-2.5519999999999925","177.448","-2.5519999999999925","-17.387","-0.1670000000000016","0.005","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","202.5","22.5","20.002999999999986","-2.497000000000014","-5.049000000000007","177.448","-2.5519999999999925","-17.44","-0.22000000000000242","0.001","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","225","45","44.837999999999994","-0.16200000000000614","-2.7139999999999986","177.448","-2.5519999999999925","-17.33","-0.10999999999999943","0.004","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","247.5","67.5","65.523","-1.9770000000000039","-4.528999999999996","177.448","-2.5519999999999925","-17.362","-0.14199999999999946","0.004","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","270","90","90.27899999999997","0.27899999999996794","-2.2730000000000246","177.448","-2.5519999999999925","-17.629","-0.4090000000000025","0.001","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","292.5","112.5","113.08900000000003","0.5890000000000271","-1.9629999999999654","177.448","-2.5519999999999925","-17.722","-0.5020000000000024","0.003","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","315","135","135.14899999999997","0.1489999999999725","-2.40300000000002","177.448","-2.5519999999999925","-17.984","-0.7640000000000029","0.003","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","337.5","157.5","156.429","-1.070999999999998","-3.6229999999999905","177.448","-2.5519999999999925","-17.904","-0.684000000000001","0.003","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.5","1","0","-180","-178.16400000000002","1.8359999999999843","0.035","178.199","-1.8009999999999877","-17.941","0","0.071","4","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","22.5","-157.5","-157.526","-0.02600000000001046","-1.8270000000000017","178.199","-1.8009999999999877","-17.915","0.0259999999999998","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
