"frequency_ghz","channel","commanded_phase_deg","measured_phase_magnitude_deg","phase_error_deg","tone_level_dbfs","amplitude_delta_db","circular_std_deg","sample_count","source_directory"
"2.5","1","225","224.639","-0.36099999999999","-18.38","-0.43900000000000006","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","247.5","245.86","-1.6399999999999864","-18.432","-0.49099999999999966","0.012","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","270","270.343","0.34300000000001774","-19.064","-1.123000000000001","0.015","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","292.5","289.394","-3.1059999999999945","-19.214","-1.2729999999999997","0.015","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","315","309.202","-5.798000000000002","-19.268","-1.3270000000000017","0.024","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","337.5","330.388","-7.112000000000023","-18.675","-0.7340000000000018","0.023","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","2","0","-0.014","-0.014","-18.664","0","0.038","4","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","22.5","20.821","-1.6789999999999985","-18.634","0.030000000000001137","0.023","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","45","46.009","1.0090000000000003","-18.898","-0.2339999999999982","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","67.5","67.069","-0.4309999999999974","-18.903","-0.23899999999999721","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","90","89.475","-0.5250000000000057","-19.484","-0.8200000000000003","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","112.5","108.861","-3.638999999999996","-19.341","-0.6769999999999996","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","135","129.555","-5.444999999999993","-19.27","-0.6059999999999981","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","157.5","152.425","-5.074999999999989","-18.783","-0.11899999999999977","0.006","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","180","177.988","-2.0120000000000005","-18.816","-0.15199999999999747","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","202.5","198.612","-3.8880000000000052","-18.803","-0.13899999999999935","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","225","223.558","-1.4420000000000073","-19.164","-0.5","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","247.5","244.71699999999998","-2.7830000000000155","-19.198","-0.5339999999999989","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","270","268.144","-1.8559999999999945","-19.871","-1.2069999999999972","0.01","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","292.5","287.062","-5.437999999999988","-19.781","-1.1169999999999973","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","315","307.10699999999997","-7.893000000000029","-19.764","-1.0999999999999979","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","337.5","329.62","-7.8799999999999955","-19.154","-0.48999999999999844","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.7","1","0","0.063","0.063","-17.752","0","0.064","4","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","22.5","20.859","-1.6409999999999982","-17.744","0.007999999999999119","0.016","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
